endpoint,endpoint_label,unit,family,link,endpoint_tier,term,label,order,coef,se,z,p_link,link_contrast,link_lo,link_hi,link_exp,link_exp_lo,link_exp_hi,link_meaning,ci_excludes_null,effect,eff_lo,eff_hi,scale,p_response,p_test,tier,p_holm,significant,verdict,structural
pr_auc,PR-AUC,AUPRC,beta,logit,primary,A,model,main,-0.0098318566860168,0.003548998484739,-2.7703186485693,0.0056001476154425,-0.0196637133720336,-0.03357553179458493,-0.005751894949482269,0.9805283564442471,0.9669818705969753,0.9942646155275954,odds ratio,True,-0.0048878335212143,-0.0083462678096517,-0.0014293992327769,difference of marginal means (eight cells),0.0056050585781388,0.0056050585781388,primary,,True,significant,False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,B,effort,main,-0.0081406911091939,0.003548998477879,-2.2937995493475105,0.0218020153313875,-0.0162813822183878,-0.030193200614048427,-0.0023695638227271745,0.9838504430827472,0.9702580609860163,0.9976332413774901,odds ratio,True,-0.0040466947122319,-0.0075051289941287,-0.0005882604303351,difference of marginal means (eight cells),0.0218282681036904,0.0218282681036904,secondary,0.0436565362073808,True,significant,False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,C,critic,main,-0.001143337565352,0.0035489984632002,-0.3221578079583184,0.7473331462621211,-0.002286675130704,-0.016198493468824786,0.011625143207416788,0.9977159373192186,0.9839319965956189,1.011692977792119,odds ratio,False,-0.0005691084144263,-0.0040275426823557,0.002889325853503,difference of marginal means (eight cells),0.7470548956669667,0.7470548956669667,secondary,0.7470548956669667,False,not significant,False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,AB,model:effort,two-way,0.0026753958554958,0.0035489984645386,0.7538453121995584,0.4509421119172241,0.0107015834219832,-0.01712205326475124,0.03852522010871764,1.010759050178002,0.9830236960611279,1.0392769387048506,ratio of odds ratios,False,0.0013271435401911,-0.0021312907289904,0.0047855778093727,difference of marginal means (eight cells),0.4519796002181719,0.4509421119172241,exploratory,,,CI only (no verdict),False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,AC,model:critic,two-way,-8.846647654223352e-05,0.0035489984629086,-0.0249271667674175,0.9801130580168308,-0.0003538659061689341,-0.028177502580124407,0.02746977076778654,0.9996461966969863,0.9722157806749512,1.0278505435048593,ratio of odds ratios,False,-4.4731158422184336e-05,-0.003503165426072,0.0034137031092276,difference of marginal means (eight cells),0.9797757577137396,0.9801130580168308,exploratory,,,CI only (no verdict),False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,BC,effort:critic,two-way,-0.0028185577343009,0.0035489984646939,-0.7941839824222227,0.4270883319007766,-0.0112742309372036,-0.03909786762515557,0.01654940575074837,0.9887890850347256,0.9616565894941794,1.016687105734981,ratio of odds ratios,False,-0.0014025052386142,-0.0048609395079732,0.0020559290307446,difference of marginal means (eight cells),0.4267136683119642,0.4270883319007766,exploratory,,,CI only (no verdict),False
pr_auc,PR-AUC,AUPRC,beta,logit,primary,ABC,model:effort:critic,three-way,-0.0021388602212464,0.0035489984639366,-0.6026658627724598,0.5467309956185371,-0.0171108817699712,-0.07275815513400088,0.03853639159405849,0.9830346779665592,0.9298256764018379,1.0392885490367887,ratio of ratio-of-odds-ratios,False,-0.0010643635526048,-0.0045227978212391,0.0023940707160294,difference of marginal means (eight cells),0.5463782098088077,0.5467309956185371,exploratory,,,CI only (no verdict),False
roc_auc,ROC-AUC,ROC-AUC,beta,logit,requested,A,model,main,0.0044403282888681,0.0021623274683457,2.053494835481663,0.040024610110324,0.0088806565777362,0.0004044886562577076,0.01735682449921469,1.0089202065983847,1.000404570472825,1.0175083294565754,odds ratio,True,0.0016359186176234,7.198297691415824e-05,0.0031998542583327,difference of marginal means (eight cells),0.0403473678958498,0.0403473678958498,main (Holm within endpoint),0.1210421036875497,False,not significant,False
roc_auc,ROC-AUC,ROC-AUC,beta,logit,requested,B,effort,main,0.0007536221138506,0.0021623274667954,0.3485235818456109,0.7274470068997779,0.0015072442277012,-0.00696892368770023,0.00998341214310263,1.0015083806911864,0.9930553029504503,1.0100334126554977,odds ratio,False,0.0002771268521781,-0.0012868087881505,0.0018410624925069,difference of marginal means (eight cells),0.728364124839771,0.728364124839771,main (Holm within endpoint),0.728364124839771,False,not significant,False
roc_auc,ROC-AUC,ROC-AUC,beta,logit,requested,C,critic,main,0.0020868299801812,0.0021623274671047,0.965085081666868,0.3345021984714841,0.0041736599603624,-0.004302507956251462,0.012649827876976263,1.0041823818088833,0.9957067345710051,1.0127301753862477,odds ratio,False,0.0007673600379378,-0.0007965756024661,0.0023312956783418,difference of marginal means (eight cells),0.3362128101273255,0.3362128101273255,main (Holm within endpoint),0.672425620254651,False,not significant,False
