endpoint,endpoint_label,unit,n,k_cells,H,df,p,epsilon_sq,eta_sq_H
pr_auc,PR-AUC,AUPRC,80,8,9.674580642136247,7,0.20777680711792218,0.12246304610299047,0.03714695336300343
roc_auc,ROC-AUC,ROC-AUC,80,8,11.571879249706996,7,0.11554627314996294,0.14647948417350629,0.06349832291259716
usd,Cost per run,USD,80,8,74.31370370370371,7,1.9765288233440018e-13,0.9406797937177684,0.9349125514403293
wallclock_min,Wall-clock time,minutes,80,8,75.15481481481481,7,1.3339734373705316e-13,0.9513267698077824,0.9465946502057613
n_engineered_features,Engineered features created,features,80,8,68.39426463840746,7,3.1169444684546656e-12,0.865750185296297,0.8526981199778815
n_features_after_fs,Features surviving selection,features,80,8,59.65766197009784,7,1.766789296817162e-10,0.7551602781025043,0.7313564162513589
n_engineered_features_selected,Engineered features selected,features,80,8,65.76344082211202,7,1.0560957997966576e-11,0.8324486180014179,0.8161589003071114
prop_engineered_selected,Engineered share of selected features,proportion,80,8,53.37286455819865,7,3.1289204743921692e-09,0.6756058804835272,0.6440675633083146
total_tokens,Total tokens,tokens,80,8,71.37703703703698,7,7.780948031423209e-13,0.903506797937177,0.8941255144032915
n_turns_total,Agent turns,turns,80,8,65.2255257604856,7,1.3547792108297825e-11,0.8256395665884253,0.8086878577845221
inner_cv_score,Inner-CV score (Optuna best),score,80,8,32.635555555555584,7,3.095212488927907e-05,0.41310829817158967,0.3560493827160498
