A,B,C,replicate,pr_auc,roc_auc,usd,wallclock_min,n_engineered_features,n_features_after_fs,n_engineered_features_selected,prop_engineered_selected,total_tokens,n_turns_total,inner_cv_score,n_features_after_fte,n_features_after_dc,wallclock_s,n_critic_invocations,n_critic_rejections,max_iter_hit,failure_flag,cell,sign
sonnet,medium,off,0,0.5418,0.7549,1.124546,6.752833333333333,10,40,4,0.1,456205,15,0.5880188212771256,125,115,405.17,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,1,0.5336,0.7514,1.028079,5.844166666666666,11,40,5,0.125,426872,15,0.5833954124761052,126,115,350.65,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,2,0.534,0.7536,1.009281,5.543666666666667,11,30,5,0.16670000000000001,423771,15,0.5847811429347531,126,115,332.62,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,3,0.5453,0.7582,1.042005,6.133833333333333,15,40,6,0.15,423492,14,0.5849513888766191,132,117,368.03,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,4,0.5361,0.7544,1.300258,6.997166666666667,12,40,5,0.125,532319,17,0.590918445459068,129,117,419.83,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,5,0.5569,0.7586,0.984972,6.029,13,40,6,0.15,397904,14,0.5860938676085867,130,117,361.74,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,6,0.5441,0.759,1.055249,6.406333333333333,13,30,4,0.1333,418566,14,0.5886311560720257,130,117,384.38,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,7,0.5407,0.7565,1.117177,6.4345,10,30,1,0.0333,454198,16,0.5844251752344543,127,117,386.07,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,8,0.5398,0.7534,1.025915,5.346500000000001,11,40,5,0.125,435545,15,0.5815586564074474,128,117,320.79,0,0,False,False,sonnet/medium/off,---
sonnet,medium,off,9,0.553,0.7603,0.978432,5.172333333333333,10,40,5,0.125,417883,15,0.5888273329200429,130,120,310.34,0,0,False,False,sonnet/medium/off,---
sonnet,medium,on,0,0.5264,0.7484,2.667084,18.12933333333333,11,30,5,0.16670000000000001,1030542,29,0.586283351863125,131,120,1087.76,4,2,False,False,sonnet/medium/on,--+
sonnet,medium,on,1,0.5444,0.7561,2.855938,21.681833333333334,10,30,4,0.1333,1101871,30,0.5870867549156069,127,117,1300.91,4,3,False,False,sonnet/medium/on,--+
sonnet,medium,on,2,0.5422,0.7511,2.437024,15.799166666666668,10,45,6,0.1333,966362,28,0.5885740877978642,127,117,947.95,4,2,False,False,sonnet/medium/on,--+
sonnet,medium,on,3,0.5494,0.7607,2.658929,17.734666666666666,9,40,5,0.125,1053761,30,0.5863502029281955,128,119,1064.08,4,3,False,False,sonnet/medium/on,--+
sonnet,medium,on,4,0.5539,0.7598,2.368385,15.915166666666666,12,40,7,0.175,922549,25,0.5850092735917805,134,122,954.91,4,1,False,False,sonnet/medium/on,--+
sonnet,medium,on,5,0.5349,0.7544,2.446017,15.6515,11,40,5,0.125,993007,30,0.5844304313606765,128,117,939.09,4,3,False,False,sonnet/medium/on,--+
sonnet,medium,on,6,0.5453,0.7554,4.945496,30.6555,12,40,6,0.15,2036675,57,0.5837371470256215,129,117,1839.33,4,1,False,False,sonnet/medium/on,--+
sonnet,medium,on,7,0.5557,0.7625,2.659235,16.374166666666667,10,40,4,0.1,1062772,29,0.58737848751488,130,120,982.45,4,2,False,False,sonnet/medium/on,--+
sonnet,medium,on,8,0.5343,0.7456,2.242613,15.825166666666666,11,30,5,0.16670000000000001,859947,25,0.5857254776481288,133,122,949.51,4,2,False,False,sonnet/medium/on,--+
sonnet,medium,on,9,0.5369,0.7568,2.730557,18.709333333333333,10,40,6,0.15,1090482,33,0.5872285703564271,132,122,1122.56,4,4,False,False,sonnet/medium/on,--+
sonnet,xhigh,off,0,0.5443,0.7554,1.461584,14.971666666666666,14,40,6,0.15,518022,17,0.5883082755261905,131,117,898.3,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,1,0.5373,0.7547,1.642646,11.5335,16,40,6,0.15,602449,17,0.5848685000803643,133,117,692.01,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,2,0.5317,0.7561,1.448765,11.775,14,50,8,0.16,494700,16,0.5933059781195749,131,117,706.5,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,3,0.5407,0.7575,1.557614,12.513499999999999,15,50,9,0.18,531943,16,0.5940524971034866,130,115,750.81,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,4,0.5347,0.7541,1.489535,12.219666666666665,15,40,7,0.175,503325,16,0.5885617127999972,130,115,733.18,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,5,0.5399,0.7517,2.754025,21.48616666666667,13,40,5,0.125,961636,31,0.5884830802055285,128,115,1289.17,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,6,0.5312,0.7518,1.519241,12.256666666666666,13,40,5,0.125,525921,17,0.5841361956128475,128,115,735.4,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,7,0.5419,0.7575,1.606332,12.461166666666665,16,45,8,0.1778,552672,17,0.5836449429778799,133,117,747.67,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,8,0.5376,0.7578,1.49744,11.7535,17,70,13,0.1857,509488,16,0.5958405184322465,132,115,705.21,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,off,9,0.5357,0.7542,1.429563,10.725833333333332,17,40,7,0.175,507596,16,0.5819200787101197,134,117,643.55,0,0,False,False,sonnet/xhigh/off,-+-
sonnet,xhigh,on,0,0.5435,0.7624,4.39578,42.316,13,100,12,0.12,1261642,29,0.594254109350414,130,117,2538.96,3,2,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,1,0.5452,0.7585,3.752047,37.289833333333334,18,40,6,0.15,1071530,25,0.5864685891890217,138,120,2237.39,4,1,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,2,0.5408,0.7549,5.348116,51.954166666666666,13,40,5,0.125,1499958,30,0.58406072392578,130,117,3117.25,4,2,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,3,0.5351,0.7518,5.303714,50.10933333333333,16,50,10,0.2,1545273,33,0.5921139871277808,133,117,3006.56,4,3,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,4,0.5396,0.7559,4.325413,40.04383333333333,16,40,8,0.2,1301434,30,0.591521052756377,136,120,2402.63,4,2,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,5,0.53,0.7511,4.077938,40.127500000000005,12,40,5,0.125,1186703,29,0.5877174568801006,127,115,2407.65,4,2,False,False,sonnet/xhigh/on,-++
