endpoint,term,label,effect,p,p_holm_global,survives_global
pr_auc,A,model,-0.0048878335212143575,0.0056050585781388315,0.050445527203249484,False
pr_auc,B,effort,-0.004046694712231957,0.021828268103690433,0.17462614482952346,False
pr_auc,C,critic,-0.000569108414426367,0.7470548956669667,1.0,False
roc_auc,A,model,0.0016359186176234664,0.040347367895849896,0.28243157527094925,False
roc_auc,B,effort,0.0002771268521781778,0.728364124839771,1.0,False
roc_auc,C,critic,0.0007673600379378698,0.3362128101273255,1.0,False
usd,A,model,3.7047417324504837,1.3889955710663797e-139,3.1946898134526735e-138,True
usd,B,effort,1.4146339785915654,1.0250836941129387e-08,1.3326088023468202e-07,True
usd,C,critic,3.460594099740164,5.1029627282730726e-123,1.122651800220076e-121,True
wallclock_min,A,model,1.8459419552185212,3.0439256554108094e-29,5.479066179739457e-28,True
wallclock_min,B,effort,2.0945361679448746,2.621415743344491e-41,4.980689912354533e-40,True
wallclock_min,C,critic,3.9040409586441216,2.864502032406156e-168,6.874804877774775e-167,True
n_engineered_features,A,model,1.8213592233009384,7.099853563957944e-113,1.4909692484311682e-111,True
n_engineered_features,B,effort,1.204855842185114,1.8067827623553814e-11,2.710174143533072e-10,True
n_engineered_features,C,critic,0.9688346883468941,0.26349130399148024,1.0,False
n_features_after_fs,A,model,1.801183431952684,3.2968286858689773e-28,5.604608765977261e-27,True
n_features_after_fs,B,effort,1.3389328063241315,2.324817838637212e-08,2.7897814063646543e-07,True
n_features_after_fs,C,critic,1.2596658711217394,8.036299796000995e-06,8.839929775601095e-05,True
n_engineered_features_selected,A,model,2.5863453815260993,1.1749264105338358e-63,2.3498528210676717e-62,True
n_engineered_features_selected,B,effort,1.3877005347593563,4.156560502512271e-11,5.819184703517179e-10,True
n_engineered_features_selected,C,critic,1.1622276029055676,0.004372048412266361,0.043720484122663605,True
prop_engineered_selected,A,model,0.07252490825902541,2.334187300453171e-25,3.734699680725074e-24,True
prop_engineered_selected,B,effort,0.010714475238660703,0.12419949271891675,0.7451969563135006,False
prop_engineered_selected,C,critic,-0.008662722662780065,0.21387345112739553,1.0,False
