group1,group2,p_raw,p_adj,reject
+++,++-,0.3228233890194294,1.0,False
+++,+-+,0.014529195921480689,0.10170437145036482,False
+++,+--,0.0005474211321582557,0.007663895850215579,True
+++,-++,0.00016972960866144996,0.0042574900898991914,True
+++,-+-,0.00019742554205860998,0.0042574900898991914,True
+++,--+,0.00016024636533588243,0.0042574900898991914,True
+++,---,0.00015384634260572105,0.0042574900898991914,True
++-,+-+,0.28644995968289144,1.0,False
++-,+--,0.005649212777492195,0.05084291499742975,False
++-,-++,0.00031803479817687374,0.00508855677082998,True
++-,-+-,0.0003230556926118561,0.00508855677082998,True
++-,--+,0.00016780051625813784,0.0042574900898991914,True
++-,---,0.00016117654782723672,0.0042574900898991914,True
+-+,+--,0.007517118328599007,0.06013694662879206,False
+-+,-++,0.00016780051625813784,0.0042574900898991914,True
+-+,-+-,0.000256129239221527,0.004354197066765959,True
+-+,--+,0.00015839797178318374,0.0042574900898991914,True
+-+,---,0.0001520532174963997,0.0042574900898991914,True
+--,-++,0.0034115913937250043,0.03752750533097505,True
+--,-+-,0.0018569523509148098,0.02414038056189253,True
+--,--+,0.0001649374219546905,0.0042574900898991914,True
+--,---,0.00015839797178318374,0.0042574900898991914,True
-++,-+-,1.0,1.0,False
-++,--+,0.02185273606763044,0.1092636803381522,False
-++,---,0.003494300914572378,0.03752750533097505,True
-+-,--+,0.01477959364182068,0.10170437145036482,False
-+-,---,0.0027999259650244384,0.03359911158029326,True
--+,---,0.315777430418978,1.0,False
