group1,group2,p_raw,p_adj,reject
+++,++-,0.00890098456299283,0.09791083019292113,False
+++,+-+,0.024972965319495725,0.1997837225559658,False
+++,+--,0.00016117654782723672,0.0035458840521992076,True
+++,-++,0.0004387008283447167,0.008774016566894334,True
+++,-+-,0.00017118900383615102,0.0035949690805591713,True
+++,--+,0.00014503596230726318,0.003435837436266279,True
+++,---,0.00012776528630733725,0.0033866111511869326,True
++-,+-+,1.0,1.0,False
++-,+--,0.0022548366031125023,0.033822549046687536,True
++-,-++,0.0032010938049804732,0.044815313269726625,True
++-,-+-,0.0006179522015113961,0.011741091828716525,True
++-,--+,0.00014246779818548544,0.003435837436266279,True
++-,---,0.00012543004263655306,0.0033866111511869326,True
+-+,+--,0.005170855175040253,0.06205026210048304,False
+-+,-++,0.0034812458678301367,0.045256196281791776,True
+-+,-+-,0.0008063915033872193,0.013708655557582728,True
+-+,--+,0.00013743349745065116,0.003435837436266279,True
+-+,---,0.00012085580379079904,0.003383962506142373,True
+--,-++,0.09848982599674354,0.39395930398697415,False
+--,-+-,0.0615666362267847,0.33603755207463404,False
+--,--+,0.001064882999165113,0.017038127986641807,True
+--,---,0.0006685807679286226,0.012034453822715207,True
-++,-+-,0.8939366174962716,1.0,False
-++,--+,0.05600625867910568,0.33603755207463404,False
-++,---,0.019529144297037677,0.1757622986733391,False
-+-,--+,0.032420774889229766,0.22694542422460837,False
-+-,---,0.011261230357223827,0.11261230357223828,False
--+,---,0.7863507532043057,1.0,False
