group1,group2,p_raw,p_adj,reject
+++,++-,0.0001574797402064146,0.004158383732438378,True
+++,+-+,0.025083192541917893,0.17558234779342524,False
+++,+--,0.00016117654782723672,0.004158383732438378,True
+++,-++,0.23811955673992868,1.0,False
+++,-+-,0.0005745418290318326,0.008618127435477489,True
+++,--+,0.3228233890194294,1.0,False
+++,---,0.00015839797178318374,0.004158383732438378,True
++-,+-+,0.0001574797402064146,0.004158383732438378,True
++-,+--,0.7754344134642237,1.0,False
++-,-++,0.00014851370472994207,0.004158383732438378,True
++-,-+-,0.41112136671208166,1.0,False
++-,--+,0.00015294782411864581,0.004158383732438378,True
++-,---,0.0009643245239490983,0.012536218811338278,True
+-+,+--,0.00016117654782723672,0.004158383732438378,True
+-+,-++,0.0008190475434259344,0.011466665607963082,True
+-+,-+-,0.00015294782411864581,0.004158383732438378,True
+-+,--+,0.0027246447498234898,0.021797157998587918,True
+-+,---,0.00015839797178318374,0.004158383732438378,True
+--,-++,0.0001520532174963997,0.004158383732438378,True
+--,-+-,0.6512279005843444,1.0,False
+--,--+,0.00015656547175434517,0.004158383732438378,True
+--,---,0.0012967722571736139,0.015561267086083366,True
-++,-+-,0.001439524914714691,0.0158347740618616,True
-++,--+,0.8770452992307489,1.0,False
-++,---,0.00014939276635154945,0.004158383732438378,True
-+-,--+,0.0014704955150756235,0.0158347740618616,True
-+-,---,0.0018225132038584885,0.016402618834726396,True
--+,---,0.00015384634260572105,0.004158383732438378,True
