group1,group2,p_raw,p_adj,reject
+++,++-,0.04919535351140386,0.4919535351140386,False
+++,+-+,0.3844942826161789,1.0,False
+++,+--,0.02558129615747901,0.33039350675336904,False
+++,-++,0.02541488513487454,0.33039350675336904,False
+++,-+-,0.031018804666384778,0.34120685133023254,False
+++,--+,0.004525431389184727,0.07240690222695563,False
+++,---,0.0005527697927464886,0.010502626062183284,True
++-,+-+,0.24096755111721346,1.0,False
++-,+--,0.7320776563029536,1.0,False
++-,-++,0.00030492047731013947,0.006335779480361102,True
++-,-+-,0.00017861448837368162,0.004725364541227179,True
++-,--+,0.00017761066068896375,0.004725364541227179,True
++-,---,0.00017070029451986127,0.004725364541227179,True
+-+,+--,0.16039158454234503,1.0,False
+-+,-++,0.005667369203044497,0.08501053804566745,False
+-+,-+-,0.004002752246609068,0.06804678819235416,False
+-+,--+,0.0007407182079819357,0.013332927743674844,True
+-+,---,0.0002660194841709799,0.005852428651761558,True
+--,-++,0.0003017037847791001,0.006335779480361102,True
+--,-+-,0.00017661101166893502,0.004725364541227179,True
+--,--+,0.00017561553104590864,0.004725364541227179,True
+--,---,0.0001687630193295421,0.004725364541227179,True
-++,-+-,0.7886018451717189,1.0,False
-++,--+,0.35812874339351886,1.0,False
-++,---,0.06951535827337836,0.6256382244604053,False
-+-,--+,0.10072065772326055,0.8057652617860844,False
-+-,---,0.01240568703227691,0.17367961845187674,False
--+,---,0.1895236559720871,1.0,False
