group1,group2,p_raw,p_adj,reject
+++,++-,0.520209005780562,1.0,False
+++,+-+,0.6497786137862427,1.0,False
+++,+--,0.028306043228323398,0.7359571239364083,False
+++,-++,0.025748080821108063,0.6951981821699177,False
+++,-+-,0.017215537462615803,0.48203504895324245,False
+++,--+,0.21229383619233155,1.0,False
+++,---,0.09617854690583334,1.0,False
++-,+-+,0.8499952484876381,1.0,False
++-,+--,0.1401665724324623,1.0,False
++-,-++,0.24096755111721346,1.0,False
++-,-+-,0.21177780105817157,1.0,False
++-,--+,0.6229147020941013,1.0,False
++-,---,0.596286621572947,1.0,False
+-+,+--,0.04928076022005515,1.0,False
+-+,-++,0.06402210128302689,1.0,False
+-+,-+-,0.05381236601214543,1.0,False
+-+,--+,0.24132159301718004,1.0,False
+-+,---,0.4055023001299908,1.0,False
+--,-++,0.8501067391385259,1.0,False
+--,-+-,0.8500510248972775,1.0,False
+--,--+,0.6773559458061944,1.0,False
+--,---,0.3074894566186813,1.0,False
-++,-+-,0.40532555156345385,1.0,False
-++,--+,0.5451985101800713,1.0,False
-++,---,0.1985957586332152,1.0,False
-+-,--+,0.8499394097939112,1.0,False
-+-,---,0.472509068324386,1.0,False
--+,---,0.9397203669477441,1.0,False
