group1,group2,p_raw,p_adj,reject
+++,++-,0.00018267179110955002,0.005114810151067401,True
+++,+-+,0.025748080821108063,0.051496161642216126,False
+++,+--,0.00018267179110955002,0.005114810151067401,True
+++,-++,0.00018267179110955002,0.005114810151067401,True
+++,-+-,0.00018267179110955002,0.005114810151067401,True
+++,--+,0.00018267179110955002,0.005114810151067401,True
+++,---,0.00018267179110955002,0.005114810151067401,True
++-,+-+,0.00018267179110955002,0.005114810151067401,True
++-,+--,0.00018267179110955002,0.005114810151067401,True
++-,-++,0.07566157214388704,0.07566157214388704,False
++-,-+-,0.00018267179110955002,0.005114810151067401,True
++-,--+,0.0017062493689195967,0.01023749621351758,True
++-,---,0.00018267179110955002,0.005114810151067401,True
+-+,+--,0.00018267179110955002,0.005114810151067401,True
+-+,-++,0.00018267179110955002,0.005114810151067401,True
+-+,-+-,0.00018267179110955002,0.005114810151067401,True
+-+,--+,0.00018267179110955002,0.005114810151067401,True
+-+,---,0.00018267179110955002,0.005114810151067401,True
+--,-++,0.00024612812790522973,0.005114810151067401,True
+--,-+-,0.00018267179110955002,0.005114810151067401,True
+--,--+,0.00579535854433471,0.01738607563300413,True
+--,---,0.00018267179110955002,0.005114810151067401,True
-++,-+-,0.00018267179110955002,0.005114810151067401,True
-++,--+,0.0017062493689195967,0.01023749621351758,True
-++,---,0.00018267179110955002,0.005114810151067401,True
-+-,--+,0.0017062493689195967,0.01023749621351758,True
-+-,---,0.00018267179110955002,0.005114810151067401,True
--+,---,0.00018267179110955002,0.005114810151067401,True
