endpoint,term,label,order,family,link,link_contrast,link_lo,link_hi,mult,link_exp,link_exp_lo,link_exp_hi,exp_meaning,p_raw,holm_rank,global_threshold,p_holm_global,p_holm_within,survives_global,survives_within
wallclock_min,AC,model:critic,two-way,gamma,log,0.38404311188795365,0.20956439876856495,0.5585218250073424,4,1.4682087375681636,1.2331407853018779,1.7480866116546392,ratio of ratios,1.6028744504664668e-05,1,0.0011363636363636365,0.0007052647582052454,6.411497801865867e-05,True,True
total_tokens,AC,model:critic,two-way,negbin,log,0.3268690587918573,0.16745758511279998,0.48628053247091463,4,1.3866198996076788,1.182295142206325,1.6262561498814583,ratio of ratios,5.848166894654219e-05,2,0.0011627906976744186,0.002514711764701314,0.00023392667578616875,True,True
usd,AC,model:critic,two-way,gamma,log,0.3585083044138952,0.18045245144890226,0.5365641573788882,4,1.431192917297145,1.1977591684134574,1.7101210498223047,ratio of ratios,7.936527086278151e-05,3,0.0011904761904761906,0.0033333413762368235,0.00031746108345112606,True,True
n_features_after_fs,AC,model:critic,two-way,poisson,log,0.29660632913993895,0.10331510509892625,0.48989755318095163,4,1.3452855954530352,1.1088407554086377,1.6321490029165366,ratio of ratios,0.002633417198620006,4,0.0012195121951219512,0.10797010514342026,0.010533668794480025,False,True
prop_engineered_selected,AB,model:effort,two-way,beta,logit,-0.28108682779859445,-0.4697137521899298,-0.09245990340725913,4,0.7549627808779839,0.6251811994213872,0.911685765724452,ratio of odds ratios,0.003492613961116377,5,0.00125,0.13970455844465507,0.013970455844465508,False,True
prop_engineered_selected,AC,model:critic,two-way,beta,logit,-0.2612506915851455,-0.4498747004022192,-0.0726266827680718,4,0.7700878408729527,0.6377080511782918,0.9299479308197788,ratio of odds ratios,0.006635245192292995,6,0.001282051282051282,0.25877456249942676,0.019905735576878983,False,True
n_engineered_features,AB,model:effort,two-way,poisson,log,-0.14178869867872199,-0.24460848852655392,-0.038968908830890034,4,0.8678046053740274,0.7830110360436962,0.9617806115651546,ratio of ratios,0.006875928206330629,7,0.0013157894736842105,0.2612852718405639,0.027503712825322515,False,True
inner_cv_score,AC,model:critic,two-way,beta,logit,0.018198453533496754,0.004188276770417056,0.03220863029657645,4,1.0183650544810263,1.0041970598592913,1.0327329422110219,ratio of odds ratios,0.01090007650232268,8,0.0013513513513513514,0.40330283058593913,0.04360030600929072,False,True
wallclock_min,ABC,model:effort:critic,three-way,gamma,log,-0.42658823140764024,-0.7755456576464176,-0.0776308051688629,8,0.6527322715476586,0.46045246303115134,0.9253059816751198,ratio of ratio-of-ratios,0.016575663558090994,9,0.001388888888888889,0.5967238880912757,0.04972699067427298,False,True
roc_auc,AC,model:critic,two-way,beta,logit,0.018296607588313963,0.0013442717446646851,0.03524894343196324,4,1.018465016046144,1.0013451756829272,1.035877551616947,ratio of odds ratios,0.03439727300986478,10,0.0014285714285714286,1.0,0.13758909203945913,False,False
n_turns_total,BC,effort:critic,two-way,negbin,log,-0.22543572577190468,-0.4368064269614357,-0.014065024582373714,4,0.7981683604544976,0.6460964861666525,0.9860334257665283,ratio of ratios,0.03658333109702814,11,0.0014705882352941176,1.0,0.14633332438811256,False,False
prop_engineered_selected,BC,effort:critic,two-way,beta,logit,-0.17452188360510332,-0.3631439753355492,0.014100208125342573,4,0.8398584748969008,0.6954862934179524,1.0142000849357657,ratio of odds ratios,0.06976254657575645,12,0.0015151515151515152,1.0,0.1395250931515129,False,False
total_tokens,BC,effort:critic,two-way,negbin,log,-0.14404261539157764,-0.30345408907063487,0.015368858287479609,4,0.8658508487000051,0.7382637827301313,1.0154875665471557,ratio of ratios,0.0765600565093001,13,0.0015625,1.0,0.22968016952790032,False,False
n_turns_total,AC,model:critic,two-way,negbin,log,0.17347601325380665,-0.03789468793572434,0.3848467144433376,4,1.1894321558201917,0.962814331517044,1.4693890680562895,ratio of ratios,0.10770815276011407,14,0.0016129032258064516,1.0,0.3231244582803422,False,False
wallclock_min,BC,effort:critic,two-way,gamma,log,-0.1425209848670128,-0.3169996979864015,0.03195772825237583,4,0.867169356667691,0.7283309750915272,1.0324738599082068,ratio of ratios,0.10938253304859358,15,0.0016666666666666668,1.0,0.21876506609718716,False,False
roc_auc,AB,model:effort,two-way,beta,logit,0.013289051732390143,-0.003663284105008739,0.030241387569789023,4,1.013377743621934,0.9963434175343744,1.030703302892903,ratio of odds ratios,0.12443316428267423,16,0.001724137931034483,1.0,0.37329949284802266,False,False
inner_cv_score,BC,effort:critic,two-way,beta,logit,-0.009775563658628934,-0.0237857404182001,0.004234613100942234,4,0.9902720618487277,0.9764949107366561,1.0042435917442194,ratio of odds ratios,0.17144994777559408,17,0.0017857142857142859,1.0,0.5143498433267822,False,False
n_engineered_features,ABC,model:effort:critic,three-way,poisson,log,-0.14345433117719983,-0.34909391087286373,0.062185248518464076,8,0.8663603649417876,0.7053268892958012,1.0641594604332285,ratio of ratio-of-ratios,0.1715399380478616,18,0.001851851851851852,1.0,0.5146198141435848,False,False
inner_cv_score,ABC,model:effort:critic,three-way,beta,logit,-0.018654361025009412,-0.046674714543896226,0.0093659924938774,8,0.9815185546875411,0.9543977988264261,1.0094099906564507,ratio of ratio-of-odds-ratios,0.19194979466033568,19,0.0019230769230769232,1.0,0.5143498433267822,False,False
n_turns_total,AB,model:effort,two-way,negbin,log,-0.13708205502777618,-0.3484527562173071,0.0742886461617547,4,0.8718986795264037,0.70577925791819,1.0771176665098385,ratio of ratios,0.20368871253279375,20,0.002,1.0,0.4073774250655875,False,False
n_engineered_features_selected,BC,effort:critic,two-way,poisson,log,-0.12304628969266551,-0.3323740341338163,0.08628145474848525,4,0.8842227312150026,0.7172190082876467,1.090113102640681,ratio of ratios,0.24928037206777065,21,0.0020833333333333333,1.0,0.9971214882710826,False,False
n_engineered_features,AC,model:critic,two-way,poisson,log,0.05961968784388007,-0.043200102003951885,0.16243947769171202,4,1.061432793979767,0.9577197292547658,1.1763771192354686,ratio of ratios,0.25575651973310154,22,0.002173913043478261,1.0,0.5146198141435848,False,False
total_tokens,AB,model:effort,two-way,negbin,log,-0.09030812510603622,-0.24971959878509337,0.06910334857302092,4,0.9136496235082083,0.7790191903765542,1.071546946273808,ratio of ratios,0.26685325315478814,23,0.002272727272727273,1.0,0.5337065063095763,False,False
n_engineered_features_selected,AB,model:effort,two-way,poisson,log,-0.11768786471114293,-0.3270156091522937,0.09163987973000787,4,0.8889734893103455,0.7210724876084896,1.0959700699684642,ratio of ratios,0.27049323736182473,24,0.002380952380952381,1.0,0.9971214882710826,False,False
usd,ABC,model:effort:critic,three-way,gamma,log,-0.19130933614706602,-0.5474210420770519,0.16480236978291984,8,0.8258770750011737,0.5784396599690591,1.1791600580239925,ratio of ratio-of-ratios,0.2923747354596258,25,0.0025,1.0,0.8771242063788773,False,False
