group1,group2,p_raw,p_adj,reject
+++,++-,0.21229383619233155,1.0,False
+++,+-+,0.6775849579524755,1.0,False
+++,+--,0.0072845570094796615,0.16026025420855255,False
+++,-++,0.0072845570094796615,0.16026025420855255,False
+++,-+-,0.017257456083119765,0.3278916655792755,False
+++,--+,0.00018267179110955002,0.005114810151067401,True
+++,---,0.00024612812790522973,0.006645459453441202,True
++-,+-+,0.5205228832757727,1.0,False
++-,+--,0.07566157214388704,1.0,False
++-,-++,0.07566157214388704,1.0,False
++-,-+-,0.10410988966022681,1.0,False
++-,--+,0.00032983852077799353,0.008575801540227832,True
++-,---,0.0017062493689195967,0.03924373548515072,True
+-+,+--,0.014019277113959953,0.28038554227919904,False
+-+,-++,0.017257456083119765,0.3278916655792755,False
+-+,-+-,0.025748080821108063,0.4377173739588371,False
+-+,--+,0.0005828399431792743,0.014570998579481858,True
+-+,---,0.0013149446697132139,0.03155867207311713,True
+--,-++,0.6775849579524755,1.0,False
+--,-+-,0.3447042220069576,1.0,False
+--,--+,1.0,1.0,False
+--,---,0.9698499769931556,1.0,False
-++,-+-,0.9097218891455553,1.0,False
-++,--+,0.24132159301718004,1.0,False
-++,---,0.3074894566186813,1.0,False
-+-,--+,0.47267559351158717,1.0,False
-+-,---,0.47267559351158717,1.0,False
--+,---,0.9097218891455553,1.0,False
