group1,group2,p_raw,p_adj,reject
+++,++-,0.14722539485479308,0.7361269742739653,False
+++,+-+,0.49252642687789405,1.0,False
+++,+--,0.03148930331099633,0.2204251231769743,False
+++,-++,0.00017561553104590864,0.004061006944603369,True
+++,-+-,0.0001746242085521927,0.004061006944603369,True
+++,--+,0.0001649374219546905,0.004061006944603369,True
+++,---,0.00017070029451986127,0.004061006944603369,True
++-,+-+,0.03188560701665721,0.2204251231769743,False
++-,+--,0.002487705124669286,0.022389346122023573,True
++-,-++,0.00017265399688226732,0.004061006944603369,True
++-,-+-,0.00017167508717120289,0.004061006944603369,True
++-,--+,0.00016211073447401525,0.004061006944603369,True
++-,---,0.00016780051625813784,0.004061006944603369,True
+-+,+--,0.6443607734396007,1.0,False
+-+,-++,0.0001996451951554761,0.004061006944603369,True
+-+,-+-,0.00017167508717120289,0.004061006944603369,True
+-+,--+,0.00016211073447401525,0.004061006944603369,True
+-+,---,0.00016780051625813784,0.004061006944603369,True
+--,-++,0.00015474878320672315,0.004061006944603369,True
+--,-+-,0.00015384634260572105,0.004061006944603369,True
+--,--+,0.00014503596230726318,0.004061006944603369,True
+--,---,0.00015027569885790433,0.004061006944603369,True
-++,-+-,0.33808037562866655,1.0,False
-++,--+,0.00028598654212802174,0.004061006944603369,True
-++,---,0.006009051445314487,0.0480724115625159,True
-+-,--+,0.00016304893553653748,0.004061006944603369,True
-+-,---,0.0011814336052510138,0.011814336052510137,True
--+,---,0.18216126798348464,0.7361269742739653,False
