group1,group2,p_raw,p_adj,reject
+++,++-,0.4273553138978077,1.0,False
+++,+-+,0.28973706282213785,1.0,False
+++,+--,0.44952132576702597,1.0,False
+++,-++,0.27303633975118835,1.0,False
+++,-+-,0.14046504815835495,1.0,False
+++,--+,0.025748080821108063,0.6951981821699177,False
+++,---,0.017257456083119765,0.48320877032735343,False
++-,+-+,0.8205295061094116,1.0,False
++-,+--,0.9698499769931556,1.0,False
++-,-++,0.7911833481406884,1.0,False
++-,-+-,0.4273553138978077,1.0,False
++-,--+,0.16197241048012612,1.0,False
++-,---,0.13042537721263486,1.0,False
+-+,+--,0.7913367801006604,1.0,False
+-+,-++,0.9698499769931556,1.0,False
+-+,-+-,0.7337299956962472,1.0,False
+-+,--+,0.18587673236587576,1.0,False
+-+,---,0.15077333785344002,1.0,False
+--,-++,0.7337299956962472,1.0,False
+--,-+-,0.7337299956962472,1.0,False
+--,--+,0.18587673236587576,1.0,False
+--,---,0.16165674027040877,1.0,False
-++,-+-,1.0,1.0,False
-++,--+,0.21229383619233155,1.0,False
-++,---,0.24132159301718004,1.0,False
-+-,--+,0.18587673236587576,1.0,False
-+-,---,0.17345557371239162,1.0,False
--+,---,0.8205295061094116,1.0,False
